system:index,Date,Longitude,PlotID,Type,description,doy-20140306,doy-20140322,doy-20140407,doy-20140423,doy-20140509,doy-20140525,doy-20140610,doy-20140626,doy-20140712,doy-20140728,doy-20140813,doy-20140829,doy-20140914,doy-20140930,doy-20141016,doy-20141101,doy-20141117,doy-20141203,doy-20141219,doy-20150101,doy-20150117,doy-20150202,doy-20150218,doy-20150306,doy-20150322,doy-20150407,doy-20150423,doy-20150509,doy-20150525,doy-20150610,doy-20150626,doy-20150712,doy-20150728,doy-20150813,doy-20150829,doy-20150914,doy-20150930,doy-20151016,doy-20151101,doy-20151117,doy-20151203,doy-20151219,doy-20160101,doy-20160117,doy-20160202,evi-20140306,evi-20140322,evi-20140407,evi-20140423,evi-20140509,evi-20140525,evi-20140610,evi-20140626,evi-20140712,evi-20140728,evi-20140813,evi-20140829,evi-20140914,evi-20140930,evi-20141016,evi-20141101,evi-20141117,evi-20141203,evi-20141219,evi-20150101,evi-20150117,evi-20150202,evi-20150218,evi-20150306,evi-20150322,evi-20150407,evi-20150423,evi-20150509,evi-20150525,evi-20150610,evi-20150626,evi-20150712,evi-20150728,evi-20150813,evi-20150829,evi-20150914,evi-20150930,evi-20151016,evi-20151101,evi-20151117,evi-20151203,evi-20151219,evi-20160101,evi-20160117,evi-20160202,geometry,name,ndvi-20140306,ndvi-20140322,ndvi-20140407,ndvi-20140423,ndvi-20140509,ndvi-20140525,ndvi-20140610,ndvi-20140626,ndvi-20140712,ndvi-20140728,ndvi-20140813,ndvi-20140829,ndvi-20140914,ndvi-20140930,ndvi-20141016,ndvi-20141101,ndvi-20141117,ndvi-20141203,ndvi-20141219,ndvi-20150101,ndvi-20150117,ndvi-20150202,ndvi-20150218,ndvi-20150306,ndvi-20150322,ndvi-20150407,ndvi-20150423,ndvi-20150509,ndvi-20150525,ndvi-20150610,ndvi-20150626,ndvi-20150712,ndvi-20150728,ndvi-20150813,ndvi-20150829,ndvi-20150914,ndvi-20150930,ndvi-20151016,ndvi-20151101,ndvi-20151117,ndvi-20151203,ndvi-20151219,ndvi-20160101,ndvi-20160117,ndvi-20160202,summaryQA-20140306,summaryQA-20140322,summaryQA-20140407,summaryQA-20140423,summaryQA-20140509,summaryQA-20140525,summaryQA-20140610,summaryQA-20140626,summaryQA-20140712,summaryQA-20140728,summaryQA-20140813,summaryQA-20140829,summaryQA-20140914,summaryQA-20140930,summaryQA-20141016,summaryQA-20141101,summaryQA-20141117,summaryQA-20141203,summaryQA-20141219,summaryQA-20150101,summaryQA-20150117,summaryQA-20150202,summaryQA-20150218,summaryQA-20150306,summaryQA-20150322,summaryQA-20150407,summaryQA-20150423,summaryQA-20150509,summaryQA-20150525,summaryQA-20150610,summaryQA-20150626,summaryQA-20150712,summaryQA-20150728,summaryQA-20150813,summaryQA-20150829,summaryQA-20150914,summaryQA-20150930,summaryQA-20151016,summaryQA-20151101,summaryQA-20151117,summaryQA-20151203,summaryQA-20151219,summaryQA-20160101,summaryQA-20160117,summaryQA-20160202,.geo
67,1407110000000,-113.94309,162,Biomass,,71,92,110,121,142,153,171,187,194,215,240,256,263,279,295,320,336,346,365,15,21,48,49,67,81,110,124,129,159,167,179,195,213,226,255,263,278,301,311,332,339,1,1,18,40,2680,3006,2402,2744,2974,3635,4132,3836,3598,2853,2888,2919,2626,2589,2764,3203,2739,2252,3922,3503,3638,3961,2611,2704,2557,3176,2959,2835,2979,3839,3410,3078,3196,3714,2785,3397,2881,2171,3448,3401,3669,1341,1341,1839,2835,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.94309,46.82912]}",,4109,7484,6064,6040,6915,6898,7273,6938,6902,6701,6854,6631,6808,6614,7154,4780,3347,7708,4517,5175,4719,7414,7240,6583,6406,6416,5937,6763,7619,6969,6811,6341,6489,7122,7405,6830,8038,7990,7293,4571,6497,2199,2199,2679,3524,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,2,2,2,3,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.94309,46.82912]}"
68,1407110000000,-113.94137,164,Biomass,,71,92,110,121,142,155,171,192,208,217,240,256,268,279,295,320,336,346,365,15,21,48,49,67,81,103,124,129,159,167,181,195,211,226,255,263,288,301,311,332,339,1,1,18,40,2490,2768,2514,2599,2929,3918,3852,3289,3080,3126,2738,2838,2818,2660,2733,3200,2908,2574,4281,3549,3465,3957,2541,2495,2505,3342,2762,2814,2998,3957,3725,2921,2956,3854,2781,3373,3477,2654,3417,3221,3286,1145,1145,1839,2746,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.94137,46.83067]}",,3200,6979,6193,5621,6730,7004,6869,6669,6689,6285,6431,6332,7122,6444,6810,4268,3582,7826,4973,4768,4256,7236,6843,6051,6015,6358,5518,6538,7305,7008,6488,6013,6357,7158,7170,6724,6949,7992,7229,3930,5004,2001,2001,2679,3161,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,2,2,2,3,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.94137,46.83067]}"
69,1407110000000,-113.94515,165,Biomass,,71,92,110,121,142,157,171,188,203,222,240,256,268,279,295,320,336,349,1,15,21,48,49,67,81,106,124,129,159,167,179,195,223,226,255,271,288,293,311,332,339,1,12,18,40,2713,2590,2465,2578,2684,3936,3678,2719,3471,2377,2471,2498,2598,2357,2799,2632,2133,4504,2251,3089,3147,3502,2164,2144,2215,2317,2713,2679,2704,3507,2753,2632,2437,3714,2498,2624,3356,2828,3205,2466,2880,584,1937,2864,2347,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.94515,46.82622]}",,5516,7065,6248,5791,6723,7210,6652,7310,6664,6324,6248,6262,7124,6386,6735,4799,3180,7480,3311,4512,4918,6953,6974,5941,6077,6113,5722,6757,7037,6494,5944,5795,6774,7122,6889,7141,6849,6928,6956,3373,6505,1211,2619,2835,3218,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,2,2,2,3,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.94515,46.82622]}"
70,1408670000000,-113.72813,171,Biomass,,67,91,103,121,142,153,174,183,204,217,237,254,268,277,293,315,336,351,365,15,21,44,49,67,86,106,124,140,159,163,186,202,213,226,252,263,278,290,311,332,339,363,2,19,38,2949,3647,2565,2848,3054,3947,3034,3443,3157,3650,3476,2835,2947,2861,2717,3060,2815,4581,2423,3069,2640,2814,2518,2546,2727,2509,2880,3536,2750,3503,2626,2486,3387,3494,2877,3119,2872,3967,3168,3063,3023,1226,2553,2561,2733,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.72813,46.764]}",,4700,7290,6532,5968,7402,7149,6985,7542,8101,7280,6943,7213,8012,7844,7505,3105,3191,9374,3101,5080,3628,6178,6407,6641,7843,6186,5935,6642,7354,7203,7152,5962,6793,6974,6997,7299,8095,8910,7159,3403,4853,1117,4226,3196,3287,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,2,3,2,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.72813,46.764]}"
71,1407800000000,-113.73286,172,Biomass,,67,91,103,121,140,150,174,183,206,217,237,249,263,277,293,315,336,351,365,15,21,48,62,67,86,106,124,140,159,163,186,202,211,226,255,271,278,290,311,332,339,363,2,19,41,3124,3170,2606,2897,3022,3904,3235,3307,2059,3335,3631,3036,2634,2760,2745,2418,1865,4581,2249,3069,2239,3272,3233,2505,2680,2565,3009,3442,3064,3491,2535,2846,2920,3609,2694,2702,2894,3972,2757,1997,3026,1499,2399,2450,2933,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.73286,46.76244]}",,5192,5607,6661,6605,7949,7058,7527,7465,8521,6944,7297,7219,7321,7876,7923,3293,3439,9374,2527,5080,2999,6980,4372,6683,7842,6815,6141,6700,7832,7163,7191,6775,7057,7103,7753,7860,8252,9083,7331,3459,8525,2047,3827,4033,6755,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,2,3,2,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.73286,46.76244]}"
72,1408670000000,-113.72764,173,Biomass,,71,91,103,121,142,153,174,192,208,217,237,249,263,283,295,315,336,351,365,15,21,48,62,67,81,106,124,129,156,163,179,202,211,226,254,266,277,290,311,332,339,363,2,19,41,2692,2824,2613,2991,3054,3704,3351,3499,3514,3650,3754,3266,2937,2996,2523,2606,2058,4581,3145,2713,2671,3562,3072,2432,2671,2720,3120,2949,3959,3620,3546,3017,3067,3663,3153,2599,2639,3962,2884,2172,2751,1503,2399,2450,2933,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.72764,46.76221]}",,5221,4819,6933,6681,7402,6981,7643,7351,7630,7280,7465,7416,7510,7081,7886,4406,3329,9374,3716,5905,4721,7384,5110,6793,6880,6802,6574,7379,7308,7483,7175,7282,7156,7100,7025,7278,7313,9081,7583,4199,8736,1492,3827,4033,6755,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,2,3,2,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.72764,46.76221]}"
73,1407800000000,-113.73434,174,Biomass,,67,91,103,121,140,150,174,183,208,215,237,254,268,277,295,320,336,351,365,15,21,48,62,69,86,106,124,140,156,163,179,202,223,226,255,266,278,290,311,332,339,363,2,19,41,2376,3047,2164,2627,3015,3763,3342,3398,3328,3071,3559,2992,2808,2695,2614,2572,2290,4807,2249,2730,2622,3277,2543,2661,2660,2487,2965,3339,3693,3507,3253,2965,2734,3540,2613,2397,2889,3028,2960,2467,2406,1499,2398,2432,2613,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.73434,46.76221]}",,3786,5441,5329,5969,7938,6846,7483,7303,7231,6955,7181,7566,7578,7207,7391,3531,2915,8224,2527,5253,2658,6826,3890,5922,7811,6246,6305,6413,7024,6931,6876,7016,7704,7101,7355,6735,8240,9329,6844,2988,7471,2047,3330,2998,4911,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,2,3,2,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.73434,46.76221]}"
74,1408670000000,-113.73231,175,Biomass,,67,91,110,121,140,150,174,192,208,215,237,249,263,277,293,315,336,351,365,15,21,48,62,67,86,106,124,140,159,163,179,202,223,226,255,271,278,290,311,332,339,363,2,19,41,2376,2668,2497,2627,2979,3830,3250,3479,3328,3008,3720,3104,2601,2679,2708,2454,1346,3579,2249,2730,2433,3226,2543,2410,2514,2157,2965,3516,3017,3505,3253,2965,2756,3696,2674,2707,2867,3826,3011,2106,2406,1162,2130,1674,2920,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.73231,46.75914]}",,3786,4929,6617,5969,7876,7035,7572,7244,7231,7113,7577,7186,7274,7754,7659,3775,2560,8187,2527,5253,4146,7117,3890,6565,7676,6027,6305,6880,7807,7249,6876,7016,7718,7276,7705,7853,8189,9145,7378,3935,7471,1023,3227,2977,6151,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,2,3,2,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.73231,46.75914]}"
75,1439860000000,-113.89031,176,Biomass,,67,91,103,121,142,156,174,183,206,217,238,254,268,279,295,316,336,349,1,1,21,48,62,67,86,110,124,129,159,166,179,200,223,226,255,271,278,294,311,332,339,2,5,19,38,2104,2580,2153,2705,2678,3230,3144,2995,3323,3010,2338,2251,2367,2427,2237,2867,2621,3644,2361,2361,2422,3570,2955,1635,2239,3024,2769,2681,3266,3800,2911,3157,2687,3947,2647,2369,2569,2502,1917,1424,3297,1547,2554,1942,1656,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.89031,46.85037]}",,2268,4520,5133,5335,6460,7233,6706,6741,6762,5850,6578,6733,6701,5724,5951,9863,2946,6886,2447,2447,2342,6564,5439,5335,6900,5755,5300,5976,7291,7940,6149,6814,6823,6740,6680,7089,7213,7375,5620,2225,4828,2187,3270,2001,1440,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,2,3,2,2,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.89031,46.85037]}"
76,1439860000000,-113.89094,179,Biomass,,67,91,103,121,142,156,174,183,206,217,238,254,268,279,295,316,336,349,1,1,21,48,62,67,86,110,124,129,159,166,179,200,223,226,255,271,278,294,311,332,339,2,5,19,38,2104,2580,2153,2705,2678,3230,3144,2995,3323,3010,2338,2251,2367,2427,2237,2867,2621,3644,2361,2361,2422,3570,2955,1635,2239,3024,2769,2681,3266,3800,2911,3157,2687,3947,2647,2369,2569,2502,1917,1424,3297,1547,2554,1942,1656,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.89094,46.85001]}",,2268,4520,5133,5335,6460,7233,6706,6741,6762,5850,6578,6733,6701,5724,5951,9863,2946,6886,2447,2447,2342,6564,5439,5335,6900,5755,5300,5976,7291,7940,6149,6814,6823,6740,6680,7089,7213,7375,5620,2225,4828,2187,3270,2001,1440,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,2,3,2,2,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.89094,46.85001]}"
77,1438650000000,-113.85642,191,Biomass,,71,91,100,121,142,153,172,188,208,215,240,249,268,279,293,320,321,349,363,1,26,39,63,78,86,110,117,129,159,163,179,200,211,229,255,271,278,290,311,333,339,1,1,25,40,1886,2051,2577,1728,2005,2773,2158,2572,2618,2334,2129,2460,2194,1858,1956,824,1616,1762,1027,1109,1875,2326,2100,2189,2063,2196,1877,1824,2109,2648,2542,2166,2489,2602,2011,1834,2060,2543,1643,2353,1775,1423,1423,3126,1593,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.85642,46.50952]}",,2532,2821,4320,3142,5578,6312,6938,8014,6782,6585,6490,6533,7602,6648,7443,1346,3542,2494,1111,2092,5749,6088,6043,5618,6633,5352,5723,5778,6891,6223,6215,6914,6728,6235,7250,7123,7772,6470,2409,7604,5376,1485,1485,8237,3189,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,2,1,1,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.85642,46.50952]}"
78,1438650000000,-113.86186,192,Biomass,,71,91,109,121,142,153,172,187,208,215,240,249,268,279,295,320,321,349,1,1,26,39,63,78,86,110,117,129,159,163,179,202,211,229,243,266,278,290,311,333,339,1,1,18,40,1918,2279,2711,2115,2090,2625,2346,2980,2507,2177,2043,2144,2108,1900,1654,637,1769,2161,1628,1628,1979,2703,1834,2364,1976,2361,2429,1885,2104,2497,2552,2107,2287,2458,2036,1788,1955,2348,1816,3234,2146,2076,2076,522,1914,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.86186,46.51348]}",,3629,3505,5297,3613,6415,6495,7254,6691,6767,6701,6537,6736,7369,7223,6986,1558,3553,2917,3361,3361,6178,6468,6177,6528,7004,6273,6259,6383,6882,6106,6452,6357,6350,6493,6445,6568,7625,6507,5139,7506,6090,2441,2441,2120,6451,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,2,2,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.86186,46.51348]}"
79,1438650000000,-113.85912,193,Biomass,,71,91,101,121,137,153,172,188,208,215,238,249,263,279,295,320,321,349,363,1,26,39,63,78,86,110,124,129,156,163,179,202,211,229,255,266,287,290,311,333,339,1,1,25,40,2326,2529,2621,2094,2197,3188,2645,2886,2790,2546,2459,2620,2102,2073,1833,977,2092,2182,999,1334,1808,2326,2569,2189,2063,2288,2332,1931,2826,2961,2761,2576,2501,2831,2187,2063,2200,2543,2025,3554,2435,1229,1229,3126,1593,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.85912,46.50922]}",,3668,3312,5507,3444,5565,6947,7585,8400,7035,7038,7551,7212,7207,7000,6928,1631,3597,2928,1079,2864,4844,6088,6866,5618,6633,5523,5798,6264,6426,6850,6712,6977,6792,6966,7457,6774,7588,6470,3922,8072,6555,1704,1704,8237,3189,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,2,1,1,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.85912,46.50922]}"
80,1438560000000,-113.85712,194,Biomass,,71,91,101,121,142,153,172,192,208,222,240,249,265,279,295,320,321,349,363,1,26,39,63,78,81,106,124,129,156,163,177,202,211,229,243,271,277,290,311,333,339,1,1,18,40,2111,2442,2311,2479,2255,2826,2453,2869,2622,2504,2346,2452,2363,2197,2081,961,1769,2161,1201,1744,1989,2943,2486,2252,2065,2045,2495,1992,3046,2847,2727,2325,2585,2813,2391,2082,2221,2659,2245,2926,2374,877,877,761,2290,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.85712,46.51368]}",,3227,3420,5429,4333,6568,6622,7367,7105,6713,7271,6752,6891,6885,6905,7130,1720,3553,2917,1237,2848,4736,6506,7057,6490,6472,6770,6096,6282,6676,6854,7345,6711,6967,6866,6830,7263,6924,6741,5283,7570,5169,1662,1662,2298,5895,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,2,2,1,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.85712,46.51368]}"
81,1438650000000,-113.85789,195,Biomass,,71,91,100,121,142,153,172,188,208,215,240,249,268,279,293,320,321,349,363,1,26,39,63,78,86,110,117,129,159,163,179,200,211,229,255,271,278,290,311,333,339,1,1,25,40,1886,2051,2577,1728,2005,2773,2158,2572,2618,2334,2129,2460,2194,1858,1956,824,1616,1762,1027,1109,1875,2326,2100,2189,2063,2196,1877,1824,2109,2648,2542,2166,2489,2602,2011,1834,2060,2543,1643,2353,1775,1423,1423,3126,1593,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.85789,46.51026]}",,2532,2821,4320,3142,5578,6312,6938,8014,6782,6585,6490,6533,7602,6648,7443,1346,3542,2494,1111,2092,5749,6088,6043,5618,6633,5352,5723,5778,6891,6223,6215,6914,6728,6235,7250,7123,7772,6470,2409,7604,5376,1485,1485,8237,3189,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,2,1,1,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.85789,46.51026]}"
82,1409010000000,-113.88225,206,Biomass,,71,92,110,121,143,157,171,188,203,215,240,251,267,279,293,319,321,349,1,1,21,39,64,66,81,107,124,140,159,176,186,202,213,239,255,262,287,301,311,330,339,2,4,19,38,347,498,165,557,1390,2549,2703,2070,3332,2220,2186,3172,2777,2117,1358,1342,1264,359,556,556,253,703,1458,1421,635,1115,2710,2506,2050,3599,2419,2375,2925,410,1871,1816,1740,1566,1100,1210,655,323,142,176,340,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.88225,46.76406]}",,339,582,144,475,2406,5311,5408,6170,6148,5896,5379,5882,5500,5026,5950,2204,3142,410,419,419,204,600,1253,2350,616,2732,4986,4830,5948,6373,5921,5302,5798,507,6100,6555,6553,8746,840,1689,709,357,150,235,327,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,2,2,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.88225,46.76406]}"
83,1409010000000,-113.88361,207,Biomass,,71,93,103,120,143,157,171,192,208,215,240,256,263,279,295,320,336,349,365,15,21,39,57,68,81,106,124,140,159,163,179,202,211,239,252,271,287,290,311,330,339,1,4,19,38,1422,2450,1884,2563,3297,3864,4162,4208,3989,3495,3530,3698,3061,3010,3112,2525,2354,2845,2778,2923,2614,2206,3256,2568,2569,2616,2892,3499,2848,3900,3800,3283,3229,289,2903,2709,2648,3266,2196,2286,2649,1279,863,881,1884,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.88361,46.75041]}",,1227,2565,1913,3424,6702,7122,7127,7454,7512,7256,7097,6901,6743,6593,6774,2377,2011,2366,2198,3088,2104,2545,5668,4919,4354,5646,5850,6356,7616,7268,7117,7021,6775,338,6489,6954,6738,5536,2037,2176,2504,924,1214,1233,1594,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,3,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.88361,46.75041]}"
84,1409010000000,-113.88194,208,Biomass,,71,92,110,121,143,157,171,192,208,215,240,245,268,279,293,319,321,349,365,15,30,39,64,66,81,107,127,140,159,176,184,202,211,239,255,271,287,301,311,330,339,1,4,19,38,1002,498,448,658,2411,2549,2996,2531,2360,2226,1973,1855,1397,1431,1683,1151,1320,359,256,482,442,330,1458,1758,675,1115,1768,2166,2050,3030,2211,2198,2482,103,1460,1302,1384,1566,792,1163,1175,115,120,228,633,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.88194,46.76282]}",,1905,582,559,713,4032,5311,6327,5862,6349,6515,6171,6864,6888,5089,6858,2008,2498,410,258,2261,717,716,1253,3080,1038,2732,4819,4695,5948,6303,6712,6139,6644,135,6507,6817,6863,8746,956,2026,2620,106,262,390,1478,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,3,2,2,2,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.88194,46.76282]}"
85,1409010000000,-113.87981,209,Biomass,,71,92,110,121,143,157,171,188,203,215,240,251,267,279,293,319,321,349,1,1,21,39,64,66,81,107,124,140,159,176,186,202,213,239,255,262,287,301,311,330,339,2,4,19,38,347,498,165,557,1390,2549,2703,2070,3332,2220,2186,3172,2777,2117,1358,1342,1264,359,556,556,253,703,1458,1421,635,1115,2710,2506,2050,3599,2419,2375,2925,410,1871,1816,1740,1566,1100,1210,655,323,142,176,340,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.87981,46.76299]}",,339,582,144,475,2406,5311,5408,6170,6148,5896,5379,5882,5500,5026,5950,2204,3142,410,419,419,204,600,1253,2350,616,2732,4986,4830,5948,6373,5921,5302,5798,507,6100,6555,6553,8746,840,1689,709,357,150,235,327,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,2,2,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.87981,46.76299]}"
86,1409010000000,-113.88116,210,Biomass,,71,91,110,121,142,157,171,192,208,215,240,256,263,279,295,320,336,349,365,15,21,39,64,66,81,107,124,140,158,163,177,202,211,239,252,262,278,301,311,330,339,2,4,17,38,716,1454,1193,1483,1909,3343,3806,3271,3049,2960,2709,2432,2283,2128,2380,1369,944,1510,1719,1447,1659,2038,2221,1945,1550,1991,2889,2783,3312,2998,2716,2634,2803,224,2612,1830,1853,1600,1157,1526,1900,1096,5,966,1102,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.88116,46.75955]}",,707,1476,1532,1629,3562,6619,6746,7095,7174,7065,7004,6465,6396,6304,6056,1426,1251,1498,1672,2325,1652,2558,2422,5177,2346,6393,5536,6114,6584,6830,7039,6753,6608,278,6468,7899,7584,8881,841,2189,2267,1306,7,792,1285,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,2,3,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.88116,46.75955]}"
87,1438560000000,-113.74931,216,Biomass,,71,91,109,121,141,153,174,192,208,217,240,249,263,279,295,320,336,351,1,15,21,44,62,69,90,106,124,140,158,163,179,202,211,226,255,271,287,301,311,332,339,2,2,26,38,2032,2149,2212,1372,2618,3057,2854,3125,3060,2831,2453,2299,1792,1703,1488,302,1304,1070,672,1277,117,1232,1439,2101,1942,1701,2268,2392,3224,3006,3270,2371,2434,3149,1893,1610,1542,1747,1409,1273,570,722,722,1093,1572,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.74931,46.71538]}",,4843,3408,3558,2361,6125,6943,7341,7365,7186,6690,6981,7005,6623,7080,7254,1162,3036,4337,2327,3699,811,3958,2893,5513,5758,5411,5502,6052,6804,7180,7038,6730,6974,6492,7126,7296,7385,5684,3070,3859,2877,1571,1571,1544,3824,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,2,3,3,2,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.74931,46.71538]}"
88,1438560000000,-113.74426,217,Biomass,,71,81,98,121,141,150,174,192,208,217,240,249,263,279,293,320,336,351,1,15,21,44,62,78,90,106,124,140,158,163,179,202,211,226,254,266,287,301,311,332,339,2,2,26,38,1594,2561,2215,2070,2858,3032,2721,2581,2872,3042,2519,1900,2032,1427,2028,435,2079,1836,1529,1976,2214,1845,1923,2101,1707,1869,2317,2359,3173,3044,2891,2213,2193,3210,2427,1731,1581,1271,1547,764,1633,1185,1185,1131,1806,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.74426,46.71454]}",,3041,2957,3853,3025,6435,6732,7272,7082,7172,7164,6977,6717,6707,6533,7622,1404,2463,2841,1435,1958,3903,3942,2531,6161,5577,5835,5656,6053,6825,7044,6732,6611,6958,6620,6437,6284,7853,5413,2917,2128,3581,1640,1640,1889,2361,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,2,2,2,2,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.74426,46.71454]}"
